Date,AEP,D,DUK,ED,EIX,EXC,KEP,NEE,NGG,PCG,PEG,PPL,SO,SRE,WEC,XEL
2012-05-30,33.207521,45.546244,56.225398999999996,52.474278000000005,40.555215999999994,31.506175,9.41,57.739821,42.786596,37.729877,26.551698,23.103885000000002,39.039406,58.217443,33.224577000000004,24.118818
2012-05-31,33.477004,45.721895,56.55992,52.70129,40.800236,31.720619,9.4,58.428366000000004,42.566528000000005,37.990682,26.931625,23.171614,39.090495000000004,58.632315000000006,33.841667,24.485843
2012-06-01,33.372688000000004,45.344246000000005,57.512021,52.640173,40.264823,31.480443,9.47,57.757701000000004,42.397242999999996,37.912440999999994,26.94026,23.256273,39.124553999999996,57.784530000000004,33.796951,24.433410000000002
2012-06-04,33.398765999999995,45.256418,57.846543000000004,52.99815,40.782086,31.969376,9.77,57.882898,42.49035,38.077616,26.948892999999998,23.324002,39.218215,58.028039,33.805893,24.573231
2012-06-05,33.833419,45.203725,58.181064,52.867181,40.954509,31.969376,10.08,58.25846899999999,42.541133,37.71249,27.03524,23.366332999999997,39.2693,57.793551,33.877441,24.71305
2012-06-06,34.320232,45.888762,58.386922,53.495826,41.408248,32.123776,10.22,58.714523,43.201344,38.625309,27.415156,23.640826,40.044128,58.956998999999996,34.315664,24.940256
2012-06-07,34.320232,46.319108,58.901568999999995,53.84506999999999,41.417321,33.401863,10.25,59.24211,43.269056,38.781791999999996,27.642233,23.718028,40.274023,59.687532999999995,34.306722,24.826652
2012-06-08,34.528867,46.74945,59.570612,54.34275,41.780314000000004,32.089464,10.2,59.859125,43.658412,39.199081,27.886778000000003,23.915321,40.342141,60.183579,34.521361,24.84413
2012-06-11,34.39847,46.380584999999996,59.133165000000005,53.941114,41.744014,32.200976000000004,10.09,59.626625,43.328305,39.173002000000004,27.799440999999998,23.70945,40.299569,59.994174,34.48559,24.966471
2012-06-12,34.537559,46.398151,59.081695999999994,54.290362,41.825687,32.33822,10.14,59.82335500000001,43.675338,39.042597,27.747039,23.683717,40.282539,60.38199,34.762832,24.84413
2012-06-13,34.520171999999995,46.591364,58.798643999999996,54.438790000000004,41.671414,32.055152,10.07,59.912776,43.252127,39.120839000000004,27.659701000000002,23.666560999999998,40.401742999999996,60.4812,34.789664,24.870345
2012-06-14,34.633183,47.179796,59.544881000000004,54.639609,41.798464,32.415421,10.26,60.36883,43.616089,39.329485,28.000318,23.786652,40.546489,60.869015000000005,34.825435,25.123768
2012-06-15,34.720113,47.232489,59.853669999999994,55.093627000000005,41.871061,32.10662,10.26,60.601321999999996,43.463733000000005,39.364257,28.236129,23.855275,40.870045000000005,61.193699,35.138455,25.228633
2012-06-18,34.833123,47.680401,59.905133,55.425412,41.880137,32.080888,10.35,60.985837,43.506056,39.286015,28.03525,23.898166,41.116969,61.987372,35.10268,25.359713
2012-06-19,34.789659,47.759444,59.44195500000001,54.822963,41.653268,32.269597,10.43,60.663918,43.743053,39.225161,28.105121,24.018257000000002,40.614608000000004,62.465377000000004,34.905925,25.271504999999998
2012-06-20,34.459321,47.575008000000004,58.747174,53.696642000000004,41.253975,31.840708000000003,10.63,60.09161700000001,43.776911,38.825259,27.956646000000003,23.778074,39.814234,61.797968000000004,34.539248,24.830467000000002
2012-06-21,33.989895000000004,47.144665,58.54131700000001,53.50455600000001,40.700413,31.583375,10.59,59.56403,43.167486,38.286262,27.546164,23.700872,39.558797,61.20271999999999,34.333551,24.565844
2012-06-22,34.120292,47.083188,58.875838,53.696642000000004,40.46447,31.651999,10.9,59.572974,43.489127,38.112390999999995,27.642233,23.580780999999998,39.635428000000005,60.607465000000005,34.521361,24.583485999999997
2012-06-25,34.050746000000004,46.846059000000004,59.004502,53.469634,40.537065999999996,31.377509999999997,10.93,59.832299,43.607626,38.155858,27.607298999999998,23.546470000000003,39.379991,60.616567,34.619738,24.565844
2012-06-26,34.241994,46.872405,58.927301,53.478363,41.226752000000005,31.377509999999997,10.79,59.930657,43.83616,38.642696,27.336553000000002,23.580780999999998,39.456621999999996,61.61759,34.888038,24.504099
2012-06-27,34.537559,47.355444,59.210359,53.993502,41.925973,32.012264,10.86,60.592385,44.005445,39.286015,27.834376000000002,23.760919,39.678000000000004,61.854198,35.397813,24.724618
2012-06-28,34.711421,47.223708,59.339023,54.194318,42.063077,32.080888,10.91,60.744401,44.470976,39.448479999999996,27.843109000000002,23.812386,39.729089,62.054404000000005,35.344151000000004,24.751079999999998
2012-06-29,34.685342999999996,47.425706,59.339023,54.299091000000004,42.227601,32.269597,11.18,61.531313,44.851865999999994,39.75585,28.3846,23.855275,39.422563000000004,62.682314,35.388868,25.059807
2012-07-02,35.137378999999996,47.768225,59.905133,54.761844999999994,42.556647999999996,32.329640999999995,11.23,61.558138,45.351255,39.975398,28.471936,24.164082,39.771661,63.155530000000006,35.907584,25.342071
2012-07-03,35.650271000000004,47.627704,58.919316,54.630876,42.309863,32.089464,11.52,61.316702,45.071934000000006,39.729504999999996,28.3846,24.121192999999998,39.584343,63.055427,35.719771,25.33325
2012-07-05,35.676352,47.232489,58.816382999999995,54.21178100000001,41.770592,32.020844,11.29,61.17363,44.911115,39.553865,28.236129,23.906744,39.550283,62.591313,35.666113,25.262684
2012-07-06,35.606806,47.276405,56.809235,54.255435999999996,41.724892,32.037996,10.97,61.075265,45.13965,39.527516999999996,28.113853999999996,23.941055,39.626915000000004,62.527612,35.782374,25.218581
2012-07-09,35.537263,47.223708,56.02009399999999,54.43006,41.907693,31.892176,11.02,60.68180600000001,45.114255,39.597775,28.00905,23.863853,39.873839000000004,62.327406,35.728716,25.271504999999998
2012-07-10,35.667657,47.162231,56.732034,54.595951,42.11792,31.866443,11.0,61.28093199999999,44.987293,39.457264,28.03525,24.009679000000002,39.967496999999995,61.972498,35.844981,25.262684
2012-07-11,35.737203,47.460837,57.023675,54.901543999999994,42.401263,32.243864,10.99,61.137859999999996,45.469753000000004,39.887577,28.253593,24.206971,40.180362,62.300107,36.023845,25.403816
2012-07-12,35.937143,47.162231,57.160911999999996,54.892811,42.291582,32.209553,10.85,61.182567000000006,45.266611,39.826104,28.174989,24.138347,40.188878,62.25461,36.193771000000005,25.368534
2012-07-13,36.241399,47.592573,57.246687,55.373024,42.419544,33.041598,10.84,61.996311,46.062246,39.843668,28.568008000000003,24.42142,40.537976,62.818819,36.587278000000005,25.483203
2012-07-16,36.389183,47.592573,57.246687,55.128552,41.688331,32.998709999999996,10.93,62.175152000000004,45.131184000000005,39.351881,28.471936,24.532934,40.512433,62.482115,36.426297,25.474382000000002
2012-07-17,36.432648,47.627704,56.903583,55.364293999999994,41.743169,33.204575,11.05,62.112556999999995,43.912338,39.509956,28.471936,24.670181,40.614608000000004,63.255632999999996,36.524674,25.615516
