Date,AMZN,BIDU,BT,CHL,CMCSA,CSCO,DCM,DIS,GOOGL,NTT,PCLN,T,TV,TWX,VOD,VZ
2013-08-02,304.209991,139.699997,48.215837,49.269378,44.025003999999996,24.44911,15.68,64.499223,453.738745,26.23,908.3599849999999,31.681511999999998,27.615614,58.9388,27.711496,45.350046
2013-08-05,300.98999,133.889999,48.234371,48.930347999999995,43.938340000000004,24.561132,15.81,64.02403199999999,452.95294800000005,26.549999,928.580017,31.592940000000002,27.238542,59.103818999999994,27.684286,45.313945000000004
2013-08-06,300.75,134.559998,48.123169,48.774576,43.322068,24.467779,16.02,65.022899,448.73374,26.860001,935.3800050000001,31.424658,27.407232,58.746281999999994,27.611718,45.205648
2013-08-07,296.910004,135.330002,48.028696999999994,48.545501,43.505023,24.383763000000002,15.94,63.917364,445.770788,26.280001000000002,927.580017,31.522085999999998,27.298078999999998,58.526254,27.747784999999997,45.06125
2013-08-08,295.73999,135.740005,48.000357,49.315191999999996,43.273919,24.514457,15.69,63.762198,446.7768,26.23,933.75,31.256377,27.774380999999998,58.617931000000006,27.747784999999997,44.781477
2013-08-09,297.26001,138.190002,48.387685,48.948671000000004,42.965782,24.318414999999998,15.81,62.773039000000004,445.650641,26.299999,969.8900150000001,30.822382,28.588064000000003,58.122888,27.76592,44.510731
2013-08-12,296.690002,136.729996,48.132615,49.626734,43.11985,24.589139000000003,15.84,61.997222,443.198217,26.48,958.0200199999999,30.928665000000002,28.488834000000004,58.05871,27.457515,44.808554
2013-08-13,293.97000099999997,141.529999,48.557732,49.956602000000004,43.187255,24.570467999999998,15.87,62.04571,441.06607599999995,26.450001,953.6099849999999,30.751527000000003,27.923225,57.847851,27.784064,44.35731
2013-08-14,291.339996,138.509995,47.896439,50.020742,42.233959999999996,24.626479,15.83,62.026314,435.340338,26.34,940.0,30.795811999999998,27.63546,57.132777000000004,27.457515,44.122661
2013-08-15,286.47000099999997,134.919998,47.962568,49.700039000000004,41.41547,22.852775,15.75,60.494082999999996,430.26025899999996,26.09,938.7899779999999,30.423816,27.248463,56.115166,27.230746000000003,43.806791
2013-08-16,284.820007,134.639999,48.038142,49.571754,40.962897,22.656735,15.64,60.29043000000001,428.883886,25.59,940.070007,30.273248,27.278233,55.794298,27.121889000000003,43.057724
2013-08-19,285.570007,135.009995,47.433533000000004,49.388496999999994,40.625871000000004,22.656735,15.7,59.960712,433.25827599999997,25.290001,933.1300050000001,29.927826,26.782084,55.785128,26.749984,42.868202000000004
2013-08-20,287.089996,134.96000700000002,48.614412,49.021977,41.107334,22.703411,16.02,60.0092,433.14313300000003,25.459999,932.7700199999999,29.99868,27.347693,56.729401,27.049322999999998,43.238222
2013-08-21,284.570007,135.990005,48.453814,48.463034,40.27922,22.470029,15.89,59.29156999999999,435.10010300000005,25.370001000000002,940.2000119999999,29.653257,26.643163,56.161005,27.003975,42.66063
2013-08-22,289.730011,139.53999299999998,48.708884000000005,49.049464,40.462175,22.414018,15.74,59.776454,437.292303,25.690001000000002,952.150024,29.954395,26.494319,57.178616000000005,26.840696,42.435008
2013-08-23,290.01001,138.639999,48.935611,49.186911,40.308107,22.273989,15.9,59.863732999999996,435.540533,25.85,954.2299800000001,30.370676,26.653087,57.16944599999999,27.167245,42.967477
2013-08-26,286.209991,139.020004,48.803353,48.875369,39.903676000000004,22.245982,16.15,59.495220999999994,433.628637,25.83,949.5399779999999,29.954395,26.722547,56.921918999999995,27.067465999999996,42.362808
2013-08-27,280.929993,135.119995,47.480767,48.857043,40.25033,21.919247,16.48,58.855174,425.50049400000006,25.799999,935.599976,29.839253000000003,25.59133,56.390192000000006,26.613927,42.371834
2013-08-28,281.579987,138.979996,47.197357000000004,49.113605,40.36588,21.891242000000002,16.43,58.971548999999996,424.699713,25.76,934.6099849999999,29.741829,25.204333,56.166375,26.677418,42.019864
2013-08-29,283.980011,139.759995,48.349896,49.040303,40.866602,21.891242000000002,16.389999,59.233387,428.14313300000003,25.84,940.650024,29.803828000000003,25.551637,56.184801,28.845356,43.156998
2013-08-30,280.980011,135.529999,47.499662,49.452638,40.529579,21.760547,16.030001000000002,58.990944999999996,423.873876,25.379998999999998,938.5300289999999,29.963254,24.956259,55.751895,29.344252,42.759904999999996
